Date/Time :  25-Oct-2017 05:17:05

L= 15.000000
B= 0.000000
No.of steps for equilibrium= 57600.000000
J= 1.000000
T(max)= 4.000000
T(min)= 0.100000
Increment in T= 0.100000
No.of Production run =  2.000000
No.of steps in production run =  1000000.000000
Data:
Average_Energy         Temp

-1.999991     0.100000
-1.999979     0.200000
-1.999996     0.300000
-1.999994     0.400000
-1.999985     0.500000
-1.999974     0.600000
-1.999901     0.700000
-1.999694     0.800000
-1.998886     0.900000
-1.997218     1.000000
-1.993713     1.100000
-1.988216     1.200000
-1.980536     1.300000
-1.967485     1.400000
-1.951010     1.500000
-1.927756     1.600000
-1.897032     1.700000
-1.857866     1.800000
-1.814131     1.900000
-1.742295     2.000000
-1.646228     2.100000
-1.556724     2.200000
-1.415242     2.300000
-1.295743     2.400000
-1.137005     2.500000
-1.040994     2.600000
-0.972848     2.700000
-0.915765     2.800000
-0.865676     2.900000
-0.815321     3.000000
-0.783106     3.100000
-0.745643     3.200000
-0.716390     3.300000
-0.687243     3.400000
-0.661132     3.500000
-0.636044     3.600000
-0.611840     3.700000
-0.594707     3.800000
-0.575538     3.900000
-0.555170     4.000000




