Date/Time :  25-Oct-2017 05:17:05

L= 15.000000
B= 0.000000
No.of steps for equilibrium= 57600.000000
J= 1.000000
T(max)= 4.000000
T(min)= 0.100000
Increment in T= 0.100000
No.of Production run =  2.000000
No.of steps in production run =  1000000.000000
Data:
Average_Heatcapacity         Temp

0.000032     0.100000
0.000018     0.200000
0.000002     0.300000
0.000001     0.400000
0.000002     0.500000
0.000003     0.600000
0.000007     0.700000
0.000017     0.800000
0.000049     0.900000
0.000102     1.000000
0.000200     1.100000
0.000305     1.200000
0.000454     1.300000
0.000644     1.400000
0.000913     1.500000
0.001125     1.600000
0.001545     1.700000
0.001946     1.800000
0.002383     1.900000
0.003111     2.000000
0.005319     2.100000
0.005439     2.200000
0.006726     2.300000
0.006525     2.400000
0.004773     2.500000
0.003659     2.600000
0.002926     2.700000
0.002419     2.800000
0.002141     2.900000
0.001832     3.000000
0.001695     3.100000
0.001473     3.200000
0.001336     3.300000
0.001237     3.400000
0.001128     3.500000
0.001046     3.600000
0.000968     3.700000
0.000908     3.800000
0.000828     3.900000
0.000779     4.000000




