Date/Time :  25-Oct-2017 05:17:05

L= 15.000000
B= 0.000000
No.of steps for equilibrium= 57600.000000
J= 1.000000
T(max)= 4.000000
T(min)= 0.100000
Increment in T= 0.100000
No.of Production run =  2.000000
No.of steps in production run =  1000000.000000
Data:
Average_Susceptibility         Temp

0.000000     0.100000
0.000000     0.200000
0.000000     0.300000
0.000000     0.400000
0.000000     0.500000
0.000000     0.600000
0.000000     0.700000
0.000001     0.800000
0.000003     0.900000
0.000007     1.000000
0.000016     1.100000
0.000027     1.200000
0.000045     1.300000
0.000075     1.400000
0.000131     1.500000
0.000184     1.600000
0.000317     1.700000
0.000511     1.800000
0.000804     1.900000
0.001533     2.000000
0.243984     2.100000
0.008262     2.200000
0.131198     2.300000
0.156027     2.400000
0.084564     2.500000
0.055034     2.600000
0.038423     2.700000
0.028858     2.800000
0.023207     2.900000
0.016264     3.000000
0.014359     3.100000
0.012344     3.200000
0.010389     3.300000
0.009047     3.400000
0.007750     3.500000
0.007145     3.600000
0.006063     3.700000
0.005887     3.800000
0.005412     3.900000
0.004843     4.000000




