Date/Time :  25-Oct-2017 05:17:05

L= 15.000000
B= 0.000000
No.of steps for equilibrium= 57600.000000
J= 1.000000
T(max)= 4.000000
T(min)= 0.100000
Increment in T= 0.100000
No.of Production run =  2.000000
No.of steps in production run =  1000000.000000
Data:
Avg_Mag         Temp

0.999998     0.100000
0.999995     0.200000
0.999999     0.300000
0.999999     0.400000
0.999996     0.500000
0.999994     0.600000
0.999975     0.700000
0.999923     0.800000
0.999719     0.900000
0.999296     1.000000
0.998376     1.100000
0.996923     1.200000
0.994858     1.300000
0.991226     1.400000
0.986395     1.500000
0.979546     1.600000
0.969513     1.700000
0.956259     1.800000
0.940448     1.900000
0.910304     2.000000
0.269244     2.100000
0.801098     2.200000
0.358977     2.300000
0.034802     2.400000
-0.079280     2.500000
-0.008421     2.600000
0.016603     2.700000
0.016916     2.800000
0.028883     2.900000
-0.014386     3.000000
0.000655     3.100000
0.001665     3.200000
0.010981     3.300000
0.000636     3.400000
0.006383     3.500000
0.003762     3.600000
-0.000072     3.700000
-0.004576     3.800000
0.000677     3.900000
0.003997     4.000000




